Date	FC id	Lane	Cluster(M)	Phix	>=Q30(%)	Method
170213	BHGNYFALXX	1	418	0.83	83.85	A
170213	BHGNYFALXX	2	447	0.67	85.7	A
170213	BHGNYFALXX	3	419	0.71	85.1	A
170213	BHGNYFALXX	4	417	0.73	84.9	A
170213	BHGNYFALXX	5	408	0.76	84.55	A
170213	BHGNYFALXX	6	418	0.82	84.3	A
170213	BHGNYFALXX	7	411	0.77	84.3	A
170214	AHGVMCALXX	6	401	0.81	84.95	B
170214	AHGVMCALXX	7	436	0.67	86.65	B
170214	AHGVMCALXX	8	393	0.74	85.4	B
170216	BHGNYKALXX	7	414	0.79	85.25	A
170216	BHGNYKALXX	8	408	0.91	85.4	A
170221	BHH225ALXX	1	414	0.83	86.2	A
170221	BHH225ALXX	2	445	0.73	87.3	A
170221	BHH225ALXX	3	414	0.79	86.6	A
170221	BHH225ALXX	4	409	0.71	86.75	A
170221	BHH225ALXX	5	399	0.76	86.25	A
170221	BHH225ALXX	6	402	0.78	85.8	A
170221	BHH225ALXX	7	398	0.77	85.9	A
170221	BHH225ALXX	8	395	0.82	85.0	A
170221	AHGYNWALXX	8	388	0.7	85.35	A
