NGI ID	User ID	Mreads	>=Q30	Status
P4806_101	ST1	135.84	84.04	PASSED
P4806_104	ST4	133.92	85.87	PASSED
P4806_105	ST5	139.70	85.48	PASSED
P4806_106	ST6	157.50	85.26	PASSED
P4806_107	ST7	129.85	84.82	PASSED
P4806_108	ST8	135.43	85.2	PASSED
P4806_109	ST9	135.62	84.28	PASSED
P4806_110	ST10	141.73	85.09	PASSED
P4806_111	ST11	126.27	83.63	PASSED
P4806_112	ST12	136.86	85.44	PASSED
P4806_114	ST14	166.54	86.02	PASSED
P4806_115	ST15	135.82	85.71	PASSED
P4806_116	ST16	157.67	86.28	PASSED
P4806_118	ST18	150.94	87.23	PASSED
P4806_119	ST19	145.51	85.64	PASSED
P4806_121	ST21	126.31	86.77	PASSED
P4806_122	ST22	126.40	85.63	PASSED
P4806_123	ST23	118.50	83.4	PASSED
P4806_124	ST24	122.70	85.61	PASSED
P4806_126	Ber02	140.49	86.39	PASSED
P4806_128	Ber07	136.02	85.78	PASSED
P4806_131	Ber11	121.22	84.86	PASSED
P4806_132	Ber15	121.59	84.91	PASSED
P4806_133	Ber20	122.91	85.21	PASSED
P4806_134	Ber21	141.46	85.75	PASSED
P4806_135	Ber22	143.21	86.54	PASSED
P4806_136	Ber23	119.01	85.39	PASSED
P4806_137	Ber24	136.99	84.94	PASSED
P4806_139	Ber26	113.90	85.06	PASSED
P4806_140	Ber27	104.73	83.92	PASSED
P4806_141	Ber53	136.30	86.59	PASSED
P4806_142	Ber55	135.76	87.96	PASSED
P4806_143	Ber56	112.27	86.4	PASSED
P4806_144	Ber59	142.06	85.01	PASSED
P4806_145	F14-60704	157.67	85.13	PASSED
P4806_146	F14-60702	152.29	84.83	PASSED
P4806_147	F14-60738	142.18	84.77	PASSED
P4806_148	F14-60705	132.07	85.08	PASSED
P4806_149	F8-34016	136.68	84.69	PASSED
P4806_150	F8-34052	147.26	85.81	PASSED
P4806_151	F8-34024	130.04	85.29	PASSED
P4806_152	F8-34036	133.08	84.97	PASSED
P4806_157	Ber10	140.80	85.95	PASSED
P4806_158	Ber50	158.09	85.94	PASSED
P4806_159	Ber52	139.25	85.9	PASSED
P4806_160	Ber54	138.82	86.42	PASSED
P4806_161	Ber57	143.13	85.45	PASSED
P4806_162	Ber58	141.97	85.29	PASSED
P4806_165	GL13_F3_60032	125.47	83.87	PASSED
P4806_166	GL13_F3_60052	149.66	86.5	PASSED
P4806_167	GL13_F3_60039	133.08	86.77	PASSED
P4806_168	GL13_F3_60069	130.54	86.36	PASSED
P4806_169	GL13_F3_23288	140.52	84.83	PASSED
P4806_170	GL13_F3_60077	121.28	85.75	PASSED
P4806_173	GL13_F3_DR_6	131.98	85.07	PASSED
P4806_174	GL13_F3_GS_7	145.82	86.52	PASSED
P4806_175	GL13_F3_OR_8	134.21	85.19	PASSED
P4806_176	GL13_F3_WH_9	138.92	85.17	PASSED
P4806_177	GL13_F3_GR_10	161.22	84.75	PASSED
P4806_201	ST13	148.46	84.64	PASSED
P4806_203	ST25	135.52	84.96	PASSED
